"Date","n.x","n.y","nDiff","meanLat.x","meanLat.y","meanLatDiff","sdLat.x","sdLat.y","sdLatDiff","meanLong.x","meanLong.y","meanLongDiff","sdLong.x","sdLong.y","sdLongDiff","meanDist.x","meanDist.y","meanDistDiff","sdDist.x","sdDist.y","sdDistDiff","meanCourse.x","meanCourse.y","meanCourseDiff","sdCourse.x","sdCourse.y","sdCourseDiff","meanRate.x","meanRate.y","meanRateDiff","sdRate.x","sdRate.y","sdRateDiff","meanElev.x","meanElev.y","meanElevDiff","sdElev.x","sdElev.y","sdElevDiff"
2018-03-05,1596,1556,40,32.0560735025063,32.056071566838,1.93566821593549e-06,0.00143210164763103,0.00143308824491601,0.00202599532251779,-109.346208575815,-109.346169698586,-3.88772284054539e-05,0.00605890167994908,0.00640266733452171,0.00881501211365254,59.4957805944931,50.0214662789203,9.4743143155728,103.018751048355,74.9702139055501,127.410345108263,169.237468671679,171.570694087404,-2.3332254157244,104.936735678717,105.038786967581,148.475133482095,4.12080200501253,3.61372660982832,0.50707539518421,6.32379243052356,5.4821958803126,8.36927848589491,1915.8480411235,1943.35989717224,-27.511856048734,117.339153346073,120.377894952941,168.105069826209
2018-03-06,1621,1603,18,32.0560905311536,32.0561091341235,-1.86029699094092e-05,0.00118157160346785,0.00111938570415157,0.00162761660374318,-109.345998337446,-109.345625038054,-0.000373299392364856,0.0058087977545567,0.00570238961335897,0.00813998640391292,59.1755000132881,53.4445508708671,5.73094914242097,135.392240944072,91.0083859248477,163.136707140066,176.475015422579,174.927635683094,1.54737973948446,103.72541576386,102.812240553241,146.045604805359,3.82196175200494,3.5719848336596,0.249976918345331,7.66510121544264,6.62288330889076,10.1299733447904,1923.95739648229,1954.5121646912,-30.5547682089152,122.077545119091,117.95726101521,169.755242771804
2018-03-07,1639,1654,-15,32.0542617156803,32.0538657128174,0.00039600286287822,0.00178845715589661,0.0017820448270543,0.00252473023590814,-109.343405884686,-109.343358266022,-4.76186640128162e-05,0.00407243389552958,0.00293014294613523,0.00501701659537262,54.3377605531806,48.9251551837969,5.41260536938375,99.0955560679734,78.4276385099147,126.375724388281,171.837705918243,173.553204353083,-1.71549843484061,103.023684788775,105.092391057619,147.167558536738,3.55332519829164,3.48583189354314,0.0674933047484969,5.59601939556147,5.57647935218884,7.90016170979358,1940.73970639703,1980.66989117291,-39.9301847758854,112.95417082995,96.6302341610074,148.64739103628
2018-03-08,1706,1672,34,32.0526089865182,32.0522380227273,0.000370963790899737,0.00202304762385402,0.00247121964343803,0.00319368880990233,-109.343476937866,-109.343004155502,-0.000472782363956981,0.00275514712248163,0.00325622516318026,0.00426542354049948,53.0474392362034,55.6097303098086,-2.56229107360521,91.605930285797,90.9822968700402,129.110126664311,174.124853458382,173.480861244019,0.643992214363038,105.535818734221,104.302440216156,148.380618919544,3.79824150058617,3.76908773527257,0.0291537653135925,6.03033945755252,5.54711230526638,8.19362245289301,1924.80004653844,1983.74461722488,-58.9445706864396,69.4589392167377,92.3261526488003,115.536412875093
2018-03-09,1584,1534,50,32.0510273377525,32.0504540169492,0.000573320803368915,0.00288067593298724,0.00261939077727434,0.00389352049884957,-109.342584933081,-109.342782541069,0.000197607988283721,0.00300360958137259,0.00219476947406782,0.00372003811292481,68.9316597353087,59.1009636173403,9.83069611796843,131.614006871083,101.21343255787,166.031339616375,176.107323232323,176.059322033898,0.0480011984249415,106.111414036916,106.424336200625,150.285633127912,4.50145202020202,3.79139484509372,0.710057175108299,7.96031322535947,6.02136286804749,9.98115210957803,1943.13813411829,2012.22750977836,-69.0893756600681,60.2126263409196,65.4081650023961,88.9032531454945
2018-03-10,1587,1540,47,32.0490385639572,32.0490415558442,-2.99188700125796e-06,0.00184149219337778,0.0020937677828243,0.00278836099288889,-109.342701021424,-109.341951257143,-0.000749764281223975,0.00262668934018302,0.00353329993512594,0.00440269296242562,62.3100846969376,58.1252716337662,4.18481306317138,117.281359915822,94.3566694171436,150.526072317059,171.844360428481,170.885064935065,0.959295493416477,106.618175786124,105.891256444306,150.267739715864,4.01632010081916,3.94020237692076,0.0761177238983946,6.60000608111364,6.07443874492109,8.96988775495744,1938.88362822543,1983.3487012987,-44.4650730732697,35.7162893212314,69.4157636558609,78.0653672687463
2018-03-11,1626,1679,-53,32.0496017158672,32.0499030339488,-0.000301318081618263,0.00298352894454054,0.00295056370657723,0.0041961018993206,-109.340548359164,-109.340433682549,-0.000114676614458631,0.00357924875815715,0.00331394925953236,0.00487783572576246,58.945848737551,50.096353019059,8.84949571849208,110.560098852014,90.820326871441,143.079933013692,176.848708487085,176.954734961286,-0.106026474201599,104.723421176671,105.702487332522,148.795197406463,3.64163591635916,3.25806385217477,0.383572064184389,5.81384931394061,5.15115602558615,7.76757698675335,1962.30000633609,2016.66706372841,-54.3670573923152,51.6496931068865,70.0680194326455,87.0472179064279
2018-03-12,1644,1606,38,32.0501024434307,32.049754258406,0.000348185024684255,0.00320938149339383,0.00343563271565228,0.00470145740457138,-109.338385376521,-109.337881011831,-0.000504364690044667,0.00366728159930843,0.00394657292940172,0.00538742909147885,56.5759300395225,54.0711323991283,2.50479764039424,111.828671089154,91.7641661123695,144.659302707654,171.638077858881,175.666251556663,-4.02817369778171,105.194188042911,105.065809700973,148.67629792986,3.73503649635036,3.65663943010996,0.0783970662404023,7.30456222332196,6.70042699747165,9.9122324035925,2000.27334008149,2035.65815691158,-35.3848168300913,65.0325735083796,75.1551803871888,99.3857975575669
2018-03-13,1643,1561,82,32.0486820407791,32.0489405912876,-0.00025855050857615,0.0035984742339757,0.00374127929300016,0.00519097173569832,-109.336760939136,-109.336383636771,-0.000377302364427123,0.0047746995491188,0.00480739404319736,0.00677560279760588,57.3125440602039,48.739377657271,8.57316640293292,122.150806548403,78.7222371463681,145.320370773524,173.825928180158,171.55797565663,2.2679525235279,105.080591470025,105.893339549887,149.182204249428,3.92465003043214,3.23196250499532,0.692687525436816,7.39566451633012,4.90136139981843,8.87238396428685,2001.28823423474,2043.96989109545,-42.6816568607164,63.0275739847335,84.6580057586204,105.543607203031
2018-03-14,1563,1597,-34,32.0513878483685,32.0517854796493,-0.000397631280819155,0.00329901518936042,0.0027765861326001,0.00431195219957016,-109.336780417786,-109.336691724483,-8.86933029136117e-05,0.00548205840163525,0.00580280174663581,0.00798282358753463,53.347845852531,52.0272192479649,1.32062660456609,93.8918510220582,83.9391919358684,125.9423186669,180.632757517594,180.26048841578,0.372269101814794,107.553509901812,108.332807893903,152.655673849276,3.48592450415867,3.44344976110385,0.0424747430548162,5.46424124242078,4.93205344152051,7.36091594201336,2049.00434361044,2085.87977457733,-36.8754309668911,106.438548268666,112.208555702679,154.660675449264
